Tipo de Venta,Centro de Operaciones,Nro Documento,Fecha,Total
ALTO COSTO RS,102,FAA-00024180,8/04/2019,977910
ALTO COSTO RS,102,FAA-00024182,8/04/2019,1795358
ALTO COSTO RS,102,FAA-00024183,9/04/2019,596018
ALTO COSTO RS,102,FAA-00024186,9/04/2019,540350
ALTO COSTO RS,102,FAA-00024187,9/04/2019,4918989
ALTO COSTO RS,102,FAA-00024189,9/04/2019,1560120
ALTO COSTO RS,102,FAA-00024190,9/04/2019,458904
ALTO COSTO RS,102,FAA-00024191,9/04/2019,458904
ALTO COSTO RS,102,FAA-00024192,9/04/2019,1864650
ALTO COSTO RS,102,FAA-00024193,9/04/2019,1536133
ALTO COSTO RS,102,FAA-00024194,9/04/2019,1485989
ALTO COSTO RS,102,FAA-00024195,9/04/2019,1798358
ALTO COSTO RS,102,FAA-00024196,9/04/2019,1640353
ALTO COSTO RS,102,FAA-00024198,9/04/2019,1806290
ALTO COSTO RS,102,FAA-00024200,9/04/2019,1828736
ALTO COSTO RS,102,FAA-00024201,9/04/2019,2088698
ALTO COSTO RS,102,FAA-00024202,9/04/2019,1760295
ALTO COSTO RS,102,FAA-00024203,9/04/2019,33243090
ALTO COSTO RS,102,FAA-00024204,9/04/2019,6600
ALTO COSTO RS,102,FAA-00024205,9/04/2019,365760
ALTO COSTO RS,102,FAA-00024206,9/04/2019,92284
ALTO COSTO RS,102,FAA-00024207,9/04/2019,1554763
ALTO COSTO RS,102,FAA-00024211,10/04/2019,1318320
ALTO COSTO RS,102,FAA-00024213,10/04/2019,39600
ALTO COSTO RS,102,FAA-00024214,10/04/2019,1230432
ALTO COSTO RS,102,FAA-00024216,10/04/2019,573430
ALTO COSTO RS,102,FAA-00024225,10/04/2019,1780829
ALTO COSTO RS,102,FAA-00024226,10/04/2019,1522608
ALTO COSTO RS,102,FAA-00024227,10/04/2019,1522608
ALTO COSTO RS,102,FAA-00024228,10/04/2019,1523466
ALTO COSTO RS,102,FAA-00024230,10/04/2019,1620854
ALTO COSTO RS,102,FAA-00024231,10/04/2019,409660
ALTO COSTO RS,102,FAA-00024232,10/04/2019,155100
ALTO COSTO RS,102,FAA-00024234,10/04/2019,1486651
ALTO COSTO RS,102,FAA-00024238,10/04/2019,2552372
ALTO COSTO RS,102,FAA-00024239,10/04/2019,33243090
ALTO COSTO RS,102,FAA-00024240,10/04/2019,271847
ALTO COSTO RS,102,FAA-00024241,10/04/2019,1887522
ALTO COSTO RS,102,FAA-00024242,10/04/2019,458904
ALTO COSTO RS,102,FAA-00024243,10/04/2019,2555157
ALTO COSTO RS,102,FAA-00024245,10/04/2019,458904
ALTO COSTO RS,102,FAA-00024246,10/04/2019,58976
ALTO COSTO RS,102,FAA-00024249,10/04/2019,19800
ALTO COSTO RS,102,FAA-00024251,10/04/2019,258221
ALTO COSTO RS,102,FAA-00024261,11/04/2019,1006020
ALTO COSTO RS,102,FAA-00024265,11/04/2019,1473263
ALTO COSTO RS,102,FAA-00024269,11/04/2019,8700
ALTO COSTO RS,102,FAA-00024270,11/04/2019,2702515
ALTO COSTO RS,102,FAA-00024272,11/04/2019,1495351
ALTO COSTO RS,102,FAA-00024273,11/04/2019,3004236
ALTO COSTO RS,102,FAA-00024274,11/04/2019,1877334
ALTO COSTO RS,102,FAA-00024275,11/04/2019,1877334
ALTO COSTO RS,102,FAA-00024277,11/04/2019,1877334
ALTO COSTO RS,102,FAA-00024278,11/04/2019,1877334
ALTO COSTO RS,102,FAA-00024279,11/04/2019,1877334
ALTO COSTO RS,102,FAA-00024280,11/04/2019,1877334
ALTO COSTO RS,102,FAA-00024281,11/04/2019,1877334
ALTO COSTO RS,102,FAA-00024282,11/04/2019,461412
ALTO COSTO RS,102,FAA-00024283,11/04/2019,1845648
ALTO COSTO RS,102,FAA-00024285,11/04/2019,1877334
ALTO COSTO RS,102,FAA-00024286,11/04/2019,1877334
ALTO COSTO RS,102,FAA-00024287,11/04/2019,1877334
ALTO COSTO RS,102,FAA-00024289,12/04/2019,540350
ALTO COSTO RS,102,FAA-00024293,12/04/2019,223560
ALTO COSTO RS,102,FAA-00024298,12/04/2019,909180
ALTO COSTO RS,102,FAA-00024300,12/04/2019,19800
ALTO COSTO RS,102,FAA-00024303,12/04/2019,9690
ALTO COSTO RS,102,FAA-00024308,12/04/2019,19800
ALTO COSTO RS,102,FAA-00024314,13/04/2019,19800
ALTO COSTO RS,102,FAA-00024317,13/04/2019,560510
ALTO COSTO RS,102,FAA-00024319,13/04/2019,167355
ALTO COSTO RS,102,FAA-00024321,13/04/2019,3089160
ALTO COSTO RS,102,FAA-00024322,13/04/2019,381755
ALTO COSTO RS,102,FAA-00024328,15/04/2019,731520
ALTO COSTO RS,102,FAA-00024333,15/04/2019,126761
ALTO COSTO RS,102,FAA-00024334,15/04/2019,3954960
ALTO COSTO RS,102,FAA-00024335,15/04/2019,1023135
ALTO COSTO RS,102,FAA-00024339,15/04/2019,4846
ALTO COSTO RS,102,FAA-00024340,15/04/2019,9726180
ALTO COSTO RS,102,FAA-00024341,15/04/2019,1665694
ALTO COSTO RS,102,FAA-00024343,15/04/2019,4863622
ALTO COSTO RS,102,FAA-00024346,15/04/2019,1832262
ALTO COSTO RS,102,FAA-00024353,15/04/2019,9727244
ALTO COSTO RS,102,FAA-00024355,15/04/2019,1896399
ALTO COSTO RS,102,FAA-00024359,15/04/2019,810525
ALTO COSTO RS,102,FAA-00024360,16/04/2019,1479580
ALTO COSTO RS,102,FAA-00024362,16/04/2019,19800
ALTO COSTO RS,102,FAA-00024366,16/04/2019,305205
ALTO COSTO RS,102,FAA-00024367,16/04/2019,19380
ALTO COSTO RS,102,FAA-00024371,16/04/2019,39600
ALTO COSTO RS,102,FAA-00024380,16/04/2019,6455999
ALTO COSTO RS,102,FAA-00024381,16/04/2019,20138529
ALTO COSTO RS,102,FAA-00024382,16/04/2019,2149258
ALTO COSTO RS,102,FAA-00024383,16/04/2019,28591
ALTO COSTO RS,102,FAA-00024384,16/04/2019,228984
ALTO COSTO RS,102,FAA-00024385,16/04/2019,355080
ALTO COSTO RS,102,FAA-00024386,16/04/2019,6757134
ALTO COSTO RS,102,FAA-00024388,16/04/2019,1749
ALTO COSTO RS,102,FAA-00024389,16/04/2019,48394
ALTO COSTO RS,102,FAA-00024390,16/04/2019,570215
ALTO COSTO RS,102,FAA-00024391,16/04/2019,458904
ALTO COSTO RS,102,FAA-00024392,16/04/2019,938667
ALTO COSTO RS,102,FAA-00024393,16/04/2019,458904
ALTO COSTO RS,102,FAA-00024394,16/04/2019,395223
ALTO COSTO RS,102,FAA-00024396,16/04/2019,39600
ALTO COSTO RS,102,FAA-00024397,16/04/2019,5247
ALTO COSTO RS,102,FAA-00024400,16/04/2019,1384163
ALTO COSTO RS,102,FAA-00024413,17/04/2019,4800
ALTO COSTO RS,102,FAA-00024414,17/04/2019,365760
ALTO COSTO RS,102,FAA-00024417,17/04/2019,1966320
ALTO COSTO RS,102,FAA-00024418,17/04/2019,2020740
ALTO COSTO RS,102,FAA-00024419,17/04/2019,1187100
ALTO COSTO RS,102,FAA-00024420,17/04/2019,9522000
ALTO COSTO RS,102,FAA-00024421,17/04/2019,1230432
ALTO COSTO RS,102,FAA-00024427,17/04/2019,47467
ALTO COSTO RS,102,FAA-00024429,17/04/2019,41400
ALTO COSTO RS,102,FAA-00024432,17/04/2019,1768937
ALTO COSTO RS,102,FAA-00024433,17/04/2019,1485272
ALTO COSTO RS,102,FAA-00024434,17/04/2019,590
ALTO COSTO RS,102,FAA-00024440,22/04/2019,7984338
ALTO COSTO RS,102,FAA-00024441,22/04/2019,224100
ALTO COSTO RS,102,FAA-00024446,22/04/2019,286975
ALTO COSTO RS,102,FAA-00024451,22/04/2019,13497321
ALTO COSTO RS,102,FAA-00024453,22/04/2019,1384163
ALTO COSTO RS,102,FAA-00024454,22/04/2019,5798545
ALTO COSTO RS,102,FAA-00024456,22/04/2019,1791027
ALTO COSTO RS,102,FAA-00024457,22/04/2019,160092
ALTO COSTO RS,102,FAA-00024459,22/04/2019,1393705
ALTO COSTO RS,102,FAA-00024460,22/04/2019,245676
ALTO COSTO RS,102,FAA-00024461,22/04/2019,1757311
ALTO COSTO RS,102,FAA-00024462,22/04/2019,8091120
ALTO COSTO RS,102,FAA-00024463,22/04/2019,4918989
ALTO COSTO RS,102,FAA-00024465,22/04/2019,4861984
ALTO COSTO RS,102,FAA-00024466,22/04/2019,461412
ALTO COSTO RS,102,FAA-00024467,22/04/2019,1894760
ALTO COSTO RS,102,FAA-00024468,22/04/2019,9664627
ALTO COSTO RS,102,FAA-00024469,22/04/2019,1459362
ALTO COSTO RS,102,FAA-00024470,22/04/2019,7759502
ALTO COSTO RS,102,FAA-00024474,22/04/2019,1898574
ALTO COSTO RS,102,FAA-00024478,22/04/2019,307992
ALTO COSTO RS,102,FAA-00024480,22/04/2019,461412
ALTO COSTO RS,102,FAA-00024481,22/04/2019,731520
ALTO COSTO RS,102,FAA-00024484,23/04/2019,1230432
ALTO COSTO RS,102,FAA-00024492,23/04/2019,1877334
ALTO COSTO RS,102,FAA-00024493,23/04/2019,458904
ALTO COSTO RS,102,FAA-00024494,23/04/2019,1760586
ALTO COSTO RS,102,FAA-00024497,23/04/2019,2540830
ALTO COSTO RS,102,FAA-00024500,23/04/2019,2080240
ALTO COSTO RS,102,FAA-00024501,23/04/2019,1466865
ALTO COSTO RS,102,FAA-00024502,23/04/2019,3199139
ALTO COSTO RS,102,FAA-00024503,23/04/2019,649853
ALTO COSTO RS,102,FAA-00024504,23/04/2019,1801039
ALTO COSTO RS,102,FAA-00024507,23/04/2019,270419
ALTO COSTO RS,102,FAA-00024511,23/04/2019,2790690
ALTO COSTO RS,102,FAA-00024513,23/04/2019,3870396
ALTO COSTO RS,102,FAA-00024514,23/04/2019,995907
ALTO COSTO RS,102,FAA-00024515,23/04/2019,15955232
ALTO COSTO RS,102,FAA-00024516,23/04/2019,4238866
ALTO COSTO RS,102,FAA-00024517,23/04/2019,670680
ALTO COSTO RS,102,FAA-00024518,23/04/2019,1832262
ALTO COSTO RS,102,FAA-00024519,23/04/2019,1832262
ALTO COSTO RS,102,FAA-00024520,23/04/2019,1801039
ALTO COSTO RS,102,FAA-00024521,23/04/2019,117548
ALTO COSTO RS,102,FAA-00024522,23/04/2019,1832262
ALTO COSTO RS,102,FAA-00024525,23/04/2019,11700
ALTO COSTO RS,102,FAA-00024526,23/04/2019,15624
ALTO COSTO RS,102,FAA-00024527,23/04/2019,23965182
ALTO COSTO RS,102,FAA-00024528,23/04/2019,7343291
ALTO COSTO RS,102,FAA-00024532,24/04/2019,4968000
ALTO COSTO RS,102,FAA-00024533,24/04/2019,4761000
ALTO COSTO RS,102,FAA-00024534,24/04/2019,19800
ALTO COSTO RS,102,FAA-00024535,24/04/2019,19800
ALTO COSTO RS,102,FAA-00024536,24/04/2019,1495560
ALTO COSTO RS,102,FAA-00024544,24/04/2019,447120
ALTO COSTO RS,102,FAA-00024546,24/04/2019,909180
ALTO COSTO RS,102,FAA-00024549,24/04/2019,2012040
ALTO COSTO RS,102,FAA-00024553,24/04/2019,2281790
ALTO COSTO RS,102,FAA-00024556,24/04/2019,270175
ALTO COSTO RS,102,FAA-00024569,25/04/2019,2851020
ALTO COSTO RS,102,FAA-00024574,25/04/2019,31844
ALTO COSTO RS,102,FAA-00024579,25/04/2019,121860
ALTO COSTO RS,102,FAA-00024587,25/04/2019,739675
ALTO COSTO RS,106,FAA-00003903,1/04/2019,96600
ALTO COSTO RS,106,FAA-00003904,1/04/2019,113850
ALTO COSTO RS,106,FAA-00003905,1/04/2019,210450
ALTO COSTO RS,106,FAA-00003920,2/04/2019,358800
ALTO COSTO RS,106,FAA-00003936,2/04/2019,132840
ALTO COSTO RS,106,FAA-00004036,8/04/2019,293496
ALTO COSTO RS,106,FAA-00004061,9/04/2019,293496
ALTO COSTO RS,106,FAA-00004153,11/04/2019,293496
ALTO COSTO RS,106,FAA-00004172,12/04/2019,125580
ALTO COSTO RS,106,FAA-00004226,15/04/2019,293496
ALTO COSTO RS,106,FAA-00004254,16/04/2019,293496
ALTO COSTO RS,106,FAA-00004371,24/04/2019,293496
ALTO COSTO RS,106,FAA-00004377,24/04/2019,110400
ALTO COSTO RS,106,FAA-00004378,24/04/2019,110400
ALTO COSTO RS,106,FAA-00004438,26/04/2019,111780
ALTO COSTO RS,106,FAA-00004453,26/04/2019,125580
ALTO COSTO RS,106,FAA-00004455,26/04/2019,82800
ALTO COSTO RS,120,FAA-00000273,10/04/2019,39600
ALTO COSTO RS,125,FAA-00000324,2/04/2019,192500
ALTO COSTO RS,125,FAA-00000325,2/04/2019,268290
ALTO COSTO RS,125,FAA-00000327,4/04/2019,402435
ALTO COSTO RS,125,FAA-00000329,8/04/2019,1877334
ALTO COSTO RS,125,FAA-00000330,16/04/2019,1877334
ALTO COSTO RS,130,FAA-00000363,2/04/2019,938667
ALTO COSTO RS,135,FAA-00000336,16/04/2019,1877334
ALTO COSTO RC,102,FAA-00024027,1/04/2019,1447445
ALTO COSTO RC,102,FAA-00024347,15/04/2019,461412
ALTO COSTO RC,102,FAA-00024471,22/04/2019,1817285
ALTO COSTO RC,102,FAA-00024472,22/04/2019,692
ALTO COSTO RC,102,FAA-00024491,23/04/2019,4111409
ALTO COSTO RC,135,FAA-00000330,2/04/2019,16280
EVENTO RC,103,FV-00177601,1/04/2019,4207
EVENTO RC,103,FV-00177605,1/04/2019,17340
EVENTO RC,103,FV-00177606,1/04/2019,6314
EVENTO RC,103,FV-00177607,1/04/2019,6810
EVENTO RC,103,FV-00177706,1/04/2019,7978
EVENTO RC,103,FV-00177796,1/04/2019,2043
EVENTO RC,103,FV-00177842,1/04/2019,11380
EVENTO RC,103,FV-00177886,1/04/2019,15622
EVENTO RC,103,FV-00177888,1/04/2019,1695
EVENTO RC,103,FV-00177920,1/04/2019,520632
EVENTO RC,103,FV-00177932,1/04/2019,1800
EVENTO RC,103,FV-00178025,1/04/2019,12740
EVENTO RC,103,FV-00178033,1/04/2019,6593
EVENTO RC,103,FV-00178068,2/04/2019,369685
EVENTO RC,103,FV-00178105,2/04/2019,2324
EVENTO RC,103,FV-00178177,2/04/2019,1341
EVENTO RC,103,FV-00178213,2/04/2019,3980
EVENTO RC,103,FV-00178240,2/04/2019,797040
EVENTO RC,103,FV-00178256,2/04/2019,5066
EVENTO RC,103,FV-00178270,2/04/2019,490230
EVENTO RC,103,FV-00178272,2/04/2019,2520
EVENTO RC,103,FV-00178318,2/04/2019,4241
EVENTO RC,103,FV-00178359,2/04/2019,49228
EVENTO RC,103,FV-00178385,2/04/2019,53020
EVENTO RC,103,FV-00178396,2/04/2019,12369
EVENTO RC,103,FV-00178407,2/04/2019,86642
EVENTO RC,103,FV-00178413,2/04/2019,2880
EVENTO RC,103,FV-00178439,3/04/2019,193368
EVENTO RC,103,FV-00178500,3/04/2019,2320
EVENTO RC,103,FV-00178531,3/04/2019,4203
EVENTO RC,103,FV-00178549,3/04/2019,27370
EVENTO RC,103,FV-00178552,3/04/2019,109250
EVENTO RC,103,FV-00178581,3/04/2019,2850
EVENTO RC,103,FV-00178606,3/04/2019,600
EVENTO RC,103,FV-00178616,3/04/2019,2320
EVENTO RC,103,FV-00178625,3/04/2019,2472
EVENTO RC,103,FV-00178626,3/04/2019,13348
EVENTO RC,103,FV-00178651,3/04/2019,2320
EVENTO RC,103,FV-00178681,3/04/2019,273280
EVENTO RC,103,FV-00178682,3/04/2019,6600
EVENTO RC,103,FV-00178695,3/04/2019,21364
EVENTO RC,103,FV-00178702,3/04/2019,1024
EVENTO RC,103,FV-00178710,3/04/2019,18069
EVENTO RC,103,FV-00178750,3/04/2019,2625
EVENTO RC,103,FV-00178758,3/04/2019,5013
EVENTO RC,103,FV-00178813,4/04/2019,2850
EVENTO RC,103,FV-00178827,4/04/2019,7080
EVENTO RC,103,FV-00178870,4/04/2019,5695
EVENTO RC,103,FV-00178918,4/04/2019,22002
EVENTO RC,103,FV-00178978,4/04/2019,3840
EVENTO RC,103,FV-00179009,4/04/2019,13080
EVENTO RC,103,FV-00179098,4/04/2019,103074
EVENTO RC,103,FV-00179117,4/04/2019,2876
EVENTO RC,103,FV-00179118,4/04/2019,14957
EVENTO RC,103,FV-00179143,5/04/2019,1100
EVENTO RC,103,FV-00179152,5/04/2019,297900
EVENTO RC,103,FV-00179176,5/04/2019,2580
EVENTO RC,103,FV-00179231,5/04/2019,3645
EVENTO RC,103,FV-00179234,5/04/2019,2090
EVENTO RC,103,FV-00179265,5/04/2019,31653
EVENTO RC,103,FV-00179276,5/04/2019,5039
EVENTO RC,103,FV-00179277,5/04/2019,192276
EVENTO RC,103,FV-00179283,5/04/2019,678
EVENTO RC,103,FV-00179307,5/04/2019,6091
EVENTO RC,103,FV-00179355,5/04/2019,8280
EVENTO RC,103,FV-00179357,5/04/2019,3645
EVENTO RC,103,FV-00179401,5/04/2019,1410
EVENTO RC,103,FV-00179431,5/04/2019,5617
EVENTO RC,103,FV-00179449,5/04/2019,1236
EVENTO RC,103,FV-00179462,5/04/2019,21630
EVENTO RC,103,FV-00179496,6/04/2019,24595
EVENTO RC,103,FV-00179543,6/04/2019,12500
EVENTO RC,103,FV-00179612,8/04/2019,5216
EVENTO RC,103,FV-00179613,8/04/2019,5450
EVENTO RC,103,FV-00179649,8/04/2019,120330
EVENTO RC,103,FV-00179762,8/04/2019,51650
EVENTO RC,103,FV-00179823,8/04/2019,263506
EVENTO RC,103,FV-00179825,8/04/2019,6174
EVENTO RC,103,FV-00179828,8/04/2019,42360
EVENTO RC,103,FV-00179841,8/04/2019,2397
EVENTO RC,103,FV-00179871,8/04/2019,1905
EVENTO RC,103,FV-00179879,8/04/2019,2320
EVENTO RC,103,FV-00179969,9/04/2019,4396
EVENTO RC,103,FV-00179991,9/04/2019,170912
EVENTO RC,103,FV-00179993,9/04/2019,11380
EVENTO RC,103,FV-00180031,9/04/2019,87600
EVENTO RC,103,FV-00180032,9/04/2019,90120
EVENTO RC,103,FV-00180036,9/04/2019,6292
EVENTO RC,103,FV-00180090,9/04/2019,2020
EVENTO RC,103,FV-00180091,9/04/2019,600
EVENTO RC,103,FV-00180122,9/04/2019,7209
EVENTO RC,103,FV-00180125,9/04/2019,161115
EVENTO RC,103,FV-00180142,9/04/2019,4040
EVENTO RC,103,FV-00180148,9/04/2019,7380
EVENTO RC,103,FV-00180195,9/04/2019,2618
EVENTO RC,103,FV-00180208,9/04/2019,7955
EVENTO RC,103,FV-00180265,9/04/2019,4972
EVENTO RC,103,FV-00180272,9/04/2019,2020
EVENTO RC,103,FV-00180295,9/04/2019,9810
EVENTO RC,103,FV-00180316,9/04/2019,4500
EVENTO RC,103,FV-00180318,9/04/2019,648360
EVENTO RC,103,FV-00180323,9/04/2019,17248
EVENTO RC,103,FV-00180340,9/04/2019,3217
EVENTO RC,103,FV-00180345,9/04/2019,58840
EVENTO RC,103,FV-00180367,10/04/2019,339
EVENTO RC,103,FV-00180369,10/04/2019,2020
EVENTO RC,103,FV-00180382,10/04/2019,162480
EVENTO RC,103,FV-00180397,10/04/2019,12150
EVENTO RC,103,FV-00180422,10/04/2019,59625
EVENTO RC,103,FV-00180462,10/04/2019,15690
EVENTO RC,103,FV-00180483,10/04/2019,38784
EVENTO RC,103,FV-00180486,10/04/2019,2320
EVENTO RC,103,FV-00180488,10/04/2019,5690
EVENTO RC,103,FV-00180541,10/04/2019,2602
EVENTO RC,103,FV-00180565,10/04/2019,9270
EVENTO RC,103,FV-00180594,10/04/2019,2140
EVENTO RC,103,FV-00180620,10/04/2019,2320
EVENTO RC,103,FV-00180622,10/04/2019,4047
EVENTO RC,103,FV-00180634,10/04/2019,12420
EVENTO RC,103,FV-00180635,10/04/2019,8526
EVENTO RC,103,FV-00180645,10/04/2019,28440
EVENTO RC,103,FV-00180647,10/04/2019,1840
EVENTO RC,103,FV-00180656,10/04/2019,8454
EVENTO RC,103,FV-00180673,10/04/2019,3217
EVENTO RC,103,FV-00180679,10/04/2019,19961
EVENTO RC,103,FV-00180688,10/04/2019,2320
EVENTO RC,103,FV-00180732,10/04/2019,8641
EVENTO RC,103,FV-00180739,10/04/2019,1212
EVENTO RC,103,FV-00180769,11/04/2019,2320
EVENTO RC,103,FV-00180786,11/04/2019,3037
EVENTO RC,103,FV-00180793,11/04/2019,2127
EVENTO RC,103,FV-00180803,11/04/2019,10080
EVENTO RC,103,FV-00180828,11/04/2019,2500
EVENTO RC,103,FV-00180834,11/04/2019,600
EVENTO RC,103,FV-00180944,11/04/2019,498840
EVENTO RC,103,FV-00180946,11/04/2019,2222732
EVENTO RC,103,FV-00180948,11/04/2019,79570
EVENTO RC,103,FV-00181005,11/04/2019,2020
EVENTO RC,103,FV-00181009,11/04/2019,14086
EVENTO RC,103,FV-00181062,11/04/2019,439200
EVENTO RC,103,FV-00181063,11/04/2019,7560
EVENTO RC,103,FV-00181077,11/04/2019,2602
EVENTO RC,103,FV-00181098,11/04/2019,2360
EVENTO RC,103,FV-00181113,11/04/2019,53340
EVENTO RC,103,FV-00181158,12/04/2019,25500
EVENTO RC,103,FV-00181161,12/04/2019,7092
EVENTO RC,103,FV-00181180,12/04/2019,165600
EVENTO RC,103,FV-00181329,12/04/2019,575760
EVENTO RC,103,FV-00181330,12/04/2019,122997
EVENTO RC,103,FV-00181336,12/04/2019,11250
EVENTO RC,103,FV-00181338,12/04/2019,2670
EVENTO RC,103,FV-00181393,12/04/2019,55260
EVENTO RC,103,FV-00181395,12/04/2019,5930
EVENTO RC,103,FV-00181411,12/04/2019,1950
EVENTO RC,103,FV-00181453,12/04/2019,9390
EVENTO RC,103,FV-00181457,12/04/2019,7500
EVENTO RC,103,FV-00181459,12/04/2019,150996
EVENTO RC,103,FV-00181485,12/04/2019,11640
EVENTO RC,103,FV-00181598,13/04/2019,2898
EVENTO RC,103,FV-00181613,13/04/2019,4480
EVENTO RC,103,FV-00181690,15/04/2019,480340
EVENTO RC,103,FV-00181727,15/04/2019,1515
